file_name,ticker,SHORT_NAME,COUNTRY_ISO,COUNTRY_FULL_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_SECTOR_NAME,INDUSTRY_GROUP,INDUSTRY_SECTOR,year_last,n_datapoints,CUR_MKT_CAP
omab.us.txt,OMAB US Equity,GRUPO AEROPO-ADR,MX,MEXICO,Transportation,Industrials,Engineering&Construction,Industrial,2017,2752,1785799099
gef.us.txt,GEF US Equity,GREIF INC-CL A,US,UNITED STATES,Materials,Materials,Packaging&Containers,Industrial,2017,3201,1779351246
sanm.us.txt,SANM US Equity,SANMINA CORP,US,UNITED STATES,Technology Hardware & Equipmen,Information Technology,Electronics,Industrial,2017,6121,1752255119
door.us.txt,DOOR US Equity,MASONITE INTERNA,US,UNITED STATES,Capital Goods,Industrials,Building Materials,Industrial,2017,1054,1716584440
htld.us.txt,HTLD US Equity,HEARTLAND EXPRES,US,UNITED STATES,Transportation,Industrials,Transportation,Industrial,2017,3201,1675833340
fit.us.txt,FIT US Equity,FITBIT INC - A,US,UNITED STATES,Technology Hardware & Equipmen,Information Technology,Electronics,Industrial,2017,607,1663260443
avav.us.txt,AVAV US Equity,AEROVIRONMENT IN,US,UNITED STATES,Capital Goods,Industrials,Aerospace/Defense,Industrial,2017,2723,1655662521
osb.us.txt,OSB US Equity,NORBORD INC,CA,CANADA,Materials,Materials,Building Materials,Industrial,2017,436,1646836855
fro.us.txt,FRO US Equity,FRONTLINE LTD,NO,NORWAY,Energy,Energy,Transportation,Industrial,2017,3201,1608227031
hubg.us.txt,HUBG US Equity,HUB GROUP-A,US,UNITED STATES,Transportation,Industrials,Transportation,Industrial,2017,3201,1602496502
kem.us.txt,KEM US Equity,KEMET CORP,US,UNITED STATES,Technology Hardware & Equipmen,Information Technology,Electronics,Industrial,2017,3201,1592014788
bdc.us.txt,BDC US Equity,BELDEN INC,US,UNITED STATES,Technology Hardware & Equipmen,Information Technology,Electrical Compo&Equip,Industrial,2017,3201,1542085161
flow.us.txt,FLOW US Equity,SPX FLOW INC,US,UNITED STATES,Capital Goods,Industrials,Machinery-Diversified,Industrial,2017,536,1504179018
rock.us.txt,ROCK US Equity,GIBRALTAR INDUST,US,UNITED STATES,Capital Goods,Industrials,Building Materials,Industrial,2017,3201,1486271329
gtls.us.txt,GTLS US Equity,CHART INDUSTRIES,US,UNITED STATES,Capital Goods,Industrials,Machinery-Diversified,Industrial,2017,2846,1466994192
kn.us.txt,KN US Equity,KNOWLES CORP,US,UNITED STATES,Technology Hardware & Equipmen,Information Technology,Electronics,Industrial,2017,931,1447923254
fix.us.txt,FIX US Equity,COMFORT SYSTEMS,US,UNITED STATES,Capital Goods,Industrials,Engineering&Construction,Industrial,2017,3201,1437686859
mwa.us.txt,MWA US Equity,MUELLER WATER-A,US,UNITED STATES,Capital Goods,Industrials,Machinery-Diversified,Industrial,2017,2887,1430110454
mli.us.txt,MLI US Equity,MUELLER INDS,US,UNITED STATES,Capital Goods,Industrials,Metal Fabricate/Hardware,Industrial,2017,3201,1422147267
oi.us.txt,OI US Equity,O-I GLASS INC,US,UNITED STATES,Materials,Materials,Packaging&Containers,Industrial,2017,3201,1402879323
fwrd.us.txt,FWRD US Equity,FORWARD AIR CORP,US,UNITED STATES,Transportation,Industrials,Transportation,Industrial,2017,3201,1392020425
patk.us.txt,PATK US Equity,PATRICK INDS INC,US,UNITED STATES,Capital Goods,Industrials,Building Materials,Industrial,2017,3041,1373821834
mrtn.us.txt,MRTN US Equity,MARTEN TRANSPORT,US,UNITED STATES,Transportation,Industrials,Transportation,Industrial,2017,3201,1366567507
